fill	x	y	showSelectedlegendfill	clickSelects	PANEL
#377EB8	-0.6724566842895	0.732622431992172	1	1	1
#4DAF4A	-0.139380501816049	0.698151491525457	2	2	1
#984EA3	0.864266816759482	0.519910787908256	3	3	1
#FF7F00	2.54103894997388	0	4	4	1
#377EB8	-0.991590344812721	0.657264662972612	1	1	1
#4DAF4A	2.49194842483848	0.48698839470875	2	2	1
#984EA3	2.72337634302676	0.461881844637028	3	3	1
#FF7F00	1.30398896243423	0.130637723705355	4	4	1
#377EB8	1.1455702194944	0.380679144483062	1	1	1
#4DAF4A	-1.69106864766218	0.606409040675901	2	2	1
#984EA3	-0.970127125503495	0.843385579123219	3	3	1
#FF7F00	-1.11721623735502	0.475234765620175	4	4	1
#377EB8	1.43511423328891	0.598783891363468	1	1	1
#4DAF4A	-0.079481408931315	0.487573745930572	2	2	1
#984EA3	1.84920709999278	0.154239408809169	3	3	1
#FF7F00	0.488496210426092	0.39658832426613	4	4	1
#377EB8	1.58809254132211	0.401803917508463	1	1	1
#4DAF4A	2.95953047415242	0.486186163862189	2	2	1
#984EA3	-0.0998241028282791	0.7782293159676	3	3	1
#FF7F00	1.88722610659897	0.693375234920279	4	4	1
#377EB8	2.67352615552954	0.459683195844837	1	1	1
#4DAF4A	-0.93928739358671	0.437304444486961	2	2	1
#984EA3	1.25836883042939	0.676696011679529	3	3	1
#FF7F00	-1.37222452019341	0.641353705392636	4	4	1
#377EB8	-0.66389665636234	0.327626545489305	1	1	1
#4DAF4A	-0.069429537281394	0.322905982510206	2	2	1
#984EA3	-1.93304833420552	0.592967494827401	3	3	1
#FF7F00	-0.0880602146498859	0.694724733983512	4	4	1
#377EB8	2.34845422860235	0.472826936167876	1	1	1
#4DAF4A	-0.298255016561598	0.723082881656651	2	2	1
#984EA3	0.410400577355176	0.601412335123652	3	3	1
#FF7F00	0.997829127125442	0.346955034810295	4	4	1
#377EB8	0.467706535244361	0.587057233151158	1	1	1
#4DAF4A	-1.06891199294478	0.216635368571274	2	2	1
#984EA3	2.13686659303494	0.86211323711508	3	3	1
#FF7F00	1.34233369096182	1	4	4	1
#377EB8	1.9711993036326	0.408622600390846	1	1	1
#4DAF4A	-1.46028187056072	0.238104840334986	2	2	1
#984EA3	1.61855473020114	0.644642684175911	3	3	1
#FF7F00	0.0563721482176334	0.467106580324249	4	4	1
#377EB8	-0.6724566842895	0.698686974509465	1	1	2
#4DAF4A	-0.139380501816049	0.410480302025569	2	2	2
#984EA3	0.864266816759482	0.672226497825941	3	3	2
#FF7F00	2.54103894997388	0.825566818567301	4	4	2
#377EB8	-0.991590344812721	0.175380207081366	1	1	2
#4DAF4A	2.49194842483848	0.842441168783225	2	2	2
#984EA3	2.72337634302676	0.576208778378794	3	3	2
#FF7F00	1.30398896243423	0.855856565028157	4	4	2
#377EB8	1.1455702194944	0.633676312122868	1	1	2
#4DAF4A	-1.69106864766218	0.510210551757553	2	2	2
#984EA3	-0.970127125503495	0.362742934533452	3	3	2
#FF7F00	-1.11721623735502	0.161436671324959	4	4	2
#377EB8	1.43511423328891	0.74652743428921	1	1	2
#4DAF4A	-0.079481408931315	0.284343943567937	2	2	2
#984EA3	1.84920709999278	0.527437053117087	3	3	2
#FF7F00	0.488496210426092	0.555289456864543	4	4	2
#377EB8	1.58809254132211	0.610408226852364	1	1	2
#4DAF4A	2.95953047415242	0.884724644334817	2	2	2
#984EA3	-0.0998241028282791	0.433614666488721	3	3	2
#FF7F00	1.88722610659897	0.633507356951966	4	4	2
#377EB8	2.67352615552954	0.755443049198326	1	1	2
#4DAF4A	-0.93928739358671	0.275145809640686	2	2	2
#984EA3	1.25836883042939	0.805537291466637	3	3	2
#FF7F00	-1.37222452019341	0	4	4	2
#377EB8	-0.66389665636234	0.426896976626486	1	1	2
#4DAF4A	-0.069429537281394	0.477274155795884	2	2	2
#984EA3	-1.93304833420552	0.306042067435343	3	3	2
#FF7F00	-0.0880602146498859	0.378208391413034	4	4	2
#377EB8	2.34845422860235	0.848141352085387	1	1	2
#4DAF4A	-0.298255016561598	0.432757584456708	2	2	2
#984EA3	0.410400577355176	0.417505169696844	3	3	2
#FF7F00	0.997829127125442	0.770676774085712	4	4	2
#377EB8	0.467706535244361	0.683421160316938	1	1	2
#4DAF4A	-1.06891199294478	0.381765431303972	2	2	2
#984EA3	2.13686659303494	1	3	3	2
#FF7F00	1.34233369096182	0.724619335587316	4	4	2
#377EB8	1.9711993036326	0.5423979300051	1	1	2
#4DAF4A	-1.46028187056072	0.130258351867927	2	2	2
#984EA3	1.61855473020114	0.496976769503823	3	3	2
#FF7F00	0.0563721482176334	0.374464244233303	4	4	2
#377EB8	-0.6724566842895	0.0521926638958948	1	1	3
#4DAF4A	-0.139380501816049	0.0773690457007656	2	2	3
#984EA3	0.864266816759482	0.0526534406576389	3	3	3
#FF7F00	2.54103894997388	0.795617936041951	4	4	3
#377EB8	-0.991590344812721	0.106645836751551	1	1	3
#4DAF4A	2.49194842483848	0.944913596615351	2	2	3
#984EA3	2.72337634302676	0.962054157738469	3	3	3
#FF7F00	1.30398896243423	0.356741526308907	4	4	3
#377EB8	1.1455702194944	0.256562185647554	1	1	3
#4DAF4A	-1.69106864766218	0.568415082084597	2	2	3
#984EA3	-0.970127125503495	0.104096914992043	3	3	3
#FF7F00	-1.11721623735502	0.156827367636104	4	4	3
#377EB8	1.43511423328891	0.453329131955368	1	1	3
#4DAF4A	-0.079481408931315	0	2	2	3
#984EA3	1.84920709999278	0.42267960340893	3	3	3
#FF7F00	0.488496210426092	0.053725891722695	4	4	3
#377EB8	1.58809254132211	0.311968123775791	1	1	3
#4DAF4A	2.95953047415242	1	2	2	3
#984EA3	-0.0998241028282791	0.125879150356022	3	3	3
#FF7F00	1.88722610659897	0.441542395020635	4	4	3
#377EB8	2.67352615552954	0.798563647356869	1	1	3
#4DAF4A	-0.93928739358671	0.314516826263878	2	2	3
#984EA3	1.25836883042939	0.220656806522113	3	3	3
#FF7F00	-1.37222452019341	0.257321397898159	4	4	3
#377EB8	-0.66389665636234	0.107950215141719	1	1	3
#4DAF4A	-0.069429537281394	0.149260514359023	2	2	3
#984EA3	-1.93304833420552	0.472101023180538	3	3	3
#FF7F00	-0.0880602146498859	0.0673491528970462	4	4	3
#377EB8	2.34845422860235	0.600384039983738	1	1	3
#4DAF4A	-0.298255016561598	0.0448335125746415	2	2	3
#984EA3	0.410400577355176	0.0956773200723318	3	3	3
#FF7F00	0.997829127125442	0.115205785593697	4	4	3
#377EB8	0.467706535244361	0.152850882387971	1	1	3
#4DAF4A	-1.06891199294478	0.0294339416061981	2	2	3
#984EA3	2.13686659303494	0.604678158922065	3	3	3
#FF7F00	1.34233369096182	0.0997128846733638	4	4	3
#377EB8	1.9711993036326	0.463501708449577	1	1	3
#4DAF4A	-1.46028187056072	0.246438076263463	2	2	3
#984EA3	1.61855473020114	0.28627564264088	3	3	3
#FF7F00	0.0563721482176334	0.0647363555507588	4	4	3
#377EB8	-0.6724566842895	0.3786511797947	1	1	4
#4DAF4A	-0.139380501816049	0.833506689493216	2	2	4
#984EA3	0.864266816759482	0.415350354070283	3	3	4
#FF7F00	2.54103894997388	0.150678999912504	4	4	4
#377EB8	-0.991590344812721	0.49614754092825	1	1	4
#4DAF4A	2.49194842483848	0.108402318153594	2	2	4
#984EA3	2.72337634302676	0.526033271542848	3	3	4
#FF7F00	1.30398896243423	0.221450887018847	4	4	4
#377EB8	1.1455702194944	0.029602177036016	1	1	4
