xmin	xmax	clickSelects	PANEL	group
0.5	1.5	1	1	-1
1.5	2.5	2	1	-1
2.5	3.5	3	1	-1
3.5	4.5	4	1	-1
4.5	5.5	5	1	-1
5.5	6.5	6	1	-1
6.5	7.5	7	1	-1
7.5	8.5	8	1	-1
8.5	9.5	9	1	-1
9.5	10.5	10	1	-1
10.5	11.5	11	1	-1
11.5	12.5	12	1	-1
12.5	13.5	13	1	-1
13.5	14.5	14	1	-1
14.5	15.5	15	1	-1
15.5	16.5	16	1	-1
16.5	17.5	17	1	-1
17.5	18.5	18	1	-1
18.5	19.5	19	1	-1
19.5	20.5	20	1	-1
20.5	21.5	21	1	-1
21.5	22.5	22	1	-1
22.5	23.5	23	1	-1
23.5	24.5	24	1	-1
24.5	25.5	25	1	-1
25.5	26.5	26	1	-1
26.5	27.5	27	1	-1
27.5	28.5	28	1	-1
28.5	29.5	29	1	-1
29.5	30.5	30	1	-1
0.5	1.5	1	2	-1
1.5	2.5	2	2	-1
2.5	3.5	3	2	-1
3.5	4.5	4	2	-1
4.5	5.5	5	2	-1
5.5	6.5	6	2	-1
6.5	7.5	7	2	-1
7.5	8.5	8	2	-1
8.5	9.5	9	2	-1
9.5	10.5	10	2	-1
10.5	11.5	11	2	-1
11.5	12.5	12	2	-1
12.5	13.5	13	2	-1
13.5	14.5	14	2	-1
14.5	15.5	15	2	-1
15.5	16.5	16	2	-1
16.5	17.5	17	2	-1
17.5	18.5	18	2	-1
18.5	19.5	19	2	-1
19.5	20.5	20	2	-1
20.5	21.5	21	2	-1
21.5	22.5	22	2	-1
22.5	23.5	23	2	-1
23.5	24.5	24	2	-1
24.5	25.5	25	2	-1
25.5	26.5	26	2	-1
26.5	27.5	27	2	-1
27.5	28.5	28	2	-1
28.5	29.5	29	2	-1
29.5	30.5	30	2	-1
0.5	1.5	1	3	-1
1.5	2.5	2	3	-1
2.5	3.5	3	3	-1
3.5	4.5	4	3	-1
4.5	5.5	5	3	-1
5.5	6.5	6	3	-1
6.5	7.5	7	3	-1
7.5	8.5	8	3	-1
8.5	9.5	9	3	-1
9.5	10.5	10	3	-1
10.5	11.5	11	3	-1
11.5	12.5	12	3	-1
12.5	13.5	13	3	-1
13.5	14.5	14	3	-1
14.5	15.5	15	3	-1
15.5	16.5	16	3	-1
16.5	17.5	17	3	-1
17.5	18.5	18	3	-1
18.5	19.5	19	3	-1
19.5	20.5	20	3	-1
20.5	21.5	21	3	-1
21.5	22.5	22	3	-1
22.5	23.5	23	3	-1
23.5	24.5	24	3	-1
24.5	25.5	25	3	-1
25.5	26.5	26	3	-1
26.5	27.5	27	3	-1
27.5	28.5	28	3	-1
28.5	29.5	29	3	-1
29.5	30.5	30	3	-1
0.5	1.5	1	4	-1
1.5	2.5	2	4	-1
2.5	3.5	3	4	-1
3.5	4.5	4	4	-1
4.5	5.5	5	4	-1
5.5	6.5	6	4	-1
6.5	7.5	7	4	-1
7.5	8.5	8	4	-1
8.5	9.5	9	4	-1
9.5	10.5	10	4	-1
10.5	11.5	11	4	-1
11.5	12.5	12	4	-1
12.5	13.5	13	4	-1
13.5	14.5	14	4	-1
14.5	15.5	15	4	-1
15.5	16.5	16	4	-1
16.5	17.5	17	4	-1
17.5	18.5	18	4	-1
18.5	19.5	19	4	-1
19.5	20.5	20	4	-1
20.5	21.5	21	4	-1
21.5	22.5	22	4	-1
22.5	23.5	23	4	-1
23.5	24.5	24	4	-1
24.5	25.5	25	4	-1
25.5	26.5	26	4	-1
26.5	27.5	27	4	-1
27.5	28.5	28	4	-1
28.5	29.5	29	4	-1
29.5	30.5	30	4	-1
0.5	1.5	1	5	-1
1.5	2.5	2	5	-1
2.5	3.5	3	5	-1
3.5	4.5	4	5	-1
4.5	5.5	5	5	-1
5.5	6.5	6	5	-1
6.5	7.5	7	5	-1
7.5	8.5	8	5	-1
8.5	9.5	9	5	-1
9.5	10.5	10	5	-1
10.5	11.5	11	5	-1
11.5	12.5	12	5	-1
12.5	13.5	13	5	-1
13.5	14.5	14	5	-1
14.5	15.5	15	5	-1
15.5	16.5	16	5	-1
16.5	17.5	17	5	-1
17.5	18.5	18	5	-1
18.5	19.5	19	5	-1
19.5	20.5	20	5	-1
20.5	21.5	21	5	-1
21.5	22.5	22	5	-1
22.5	23.5	23	5	-1
23.5	24.5	24	5	-1
24.5	25.5	25	5	-1
25.5	26.5	26	5	-1
26.5	27.5	27	5	-1
27.5	28.5	28	5	-1
28.5	29.5	29	5	-1
29.5	30.5	30	5	-1
0.5	1.5	1	6	-1
1.5	2.5	2	6	-1
2.5	3.5	3	6	-1
3.5	4.5	4	6	-1
4.5	5.5	5	6	-1
5.5	6.5	6	6	-1
6.5	7.5	7	6	-1
7.5	8.5	8	6	-1
8.5	9.5	9	6	-1
9.5	10.5	10	6	-1
10.5	11.5	11	6	-1
11.5	12.5	12	6	-1
12.5	13.5	13	6	-1
13.5	14.5	14	6	-1
14.5	15.5	15	6	-1
15.5	16.5	16	6	-1
16.5	17.5	17	6	-1
17.5	18.5	18	6	-1
18.5	19.5	19	6	-1
19.5	20.5	20	6	-1
20.5	21.5	21	6	-1
21.5	22.5	22	6	-1
22.5	23.5	23	6	-1
23.5	24.5	24	6	-1
24.5	25.5	25	6	-1
